T27,Water supply and sanitation services,,,,,
15,Northern Africa,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",80.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
15,Northern Africa,2010,"Safely managed drinking water sources, total (Proportion of population with access)",70.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
15,Northern Africa,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",46.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
15,Northern Africa,2010,"Safely managed sanitation facilities, rural (Proportion of population with access)",39.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
15,Northern Africa,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",47.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
15,Northern Africa,2015,"Safely managed drinking water sources, urban (Proportion of population with access)",81.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
15,Northern Africa,2015,"Safely managed drinking water sources, total (Proportion of population with access)",73.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
15,Northern Africa,2015,"Safely managed sanitation facilities, urban (Proportion of population with access)",50.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
15,Northern Africa,2015,"Safely managed sanitation facilities, rural (Proportion of population with access)",43.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
15,Northern Africa,2015,"Safely managed sanitation facilities, total (Proportion of population with access)",50.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
15,Northern Africa,2022,"Safely managed drinking water sources, urban (Proportion of population with access)",81.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
15,Northern Africa,2022,"Safely managed drinking water sources, total (Proportion of population with access)",74.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
15,Northern Africa,2022,"Safely managed sanitation facilities, urban (Proportion of population with access)",59.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
15,Northern Africa,2022,"Safely managed sanitation facilities, rural (Proportion of population with access)",33.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
15,Northern Africa,2022,"Safely managed sanitation facilities, total (Proportion of population with access)",59.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
202,Sub-Saharan Africa,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",46.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
202,Sub-Saharan Africa,2010,"Safely managed drinking water sources, rural (Proportion of population with access)",9.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
202,Sub-Saharan Africa,2010,"Safely managed drinking water sources, total (Proportion of population with access)",22.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
202,Sub-Saharan Africa,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",26.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
202,Sub-Saharan Africa,2010,"Safely managed sanitation facilities, rural (Proportion of population with access)",16.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
202,Sub-Saharan Africa,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",20.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
202,Sub-Saharan Africa,2015,"Safely managed drinking water sources, urban (Proportion of population with access)",50.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
202,Sub-Saharan Africa,2015,"Safely managed drinking water sources, rural (Proportion of population with access)",11.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
202,Sub-Saharan Africa,2015,"Safely managed drinking water sources, total (Proportion of population with access)",26.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
202,Sub-Saharan Africa,2015,"Safely managed sanitation facilities, urban (Proportion of population with access)",28.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
202,Sub-Saharan Africa,2015,"Safely managed sanitation facilities, rural (Proportion of population with access)",18.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
202,Sub-Saharan Africa,2015,"Safely managed sanitation facilities, total (Proportion of population with access)",22.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
202,Sub-Saharan Africa,2022,"Safely managed drinking water sources, urban (Proportion of population with access)",53.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
202,Sub-Saharan Africa,2022,"Safely managed drinking water sources, rural (Proportion of population with access)",15.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
202,Sub-Saharan Africa,2022,"Safely managed drinking water sources, total (Proportion of population with access)",31.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
202,Sub-Saharan Africa,2022,"Safely managed sanitation facilities, urban (Proportion of population with access)",30.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
202,Sub-Saharan Africa,2022,"Safely managed sanitation facilities, rural (Proportion of population with access)",19.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
202,Sub-Saharan Africa,2022,"Safely managed sanitation facilities, total (Proportion of population with access)",24.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
14,Eastern Africa,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",46.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
14,Eastern Africa,2010,"Safely managed drinking water sources, rural (Proportion of population with access)",6.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
14,Eastern Africa,2010,"Safely managed drinking water sources, total (Proportion of population with access)",16.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
14,Eastern Africa,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",22.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
14,Eastern Africa,2010,"Safely managed sanitation facilities, rural (Proportion of population with access)",14.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
14,Eastern Africa,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",16.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
14,Eastern Africa,2015,"Safely managed drinking water sources, urban (Proportion of population with access)",52.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
14,Eastern Africa,2015,"Safely managed drinking water sources, rural (Proportion of population with access)",8.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
14,Eastern Africa,2015,"Safely managed drinking water sources, total (Proportion of population with access)",20.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
14,Eastern Africa,2015,"Safely managed sanitation facilities, urban (Proportion of population with access)",25.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
14,Eastern Africa,2015,"Safely managed sanitation facilities, rural (Proportion of population with access)",16.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
14,Eastern Africa,2015,"Safely managed sanitation facilities, total (Proportion of population with access)",18.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
14,Eastern Africa,2022,"Safely managed drinking water sources, urban (Proportion of population with access)",53.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
14,Eastern Africa,2022,"Safely managed drinking water sources, rural (Proportion of population with access)",13.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
14,Eastern Africa,2022,"Safely managed drinking water sources, total (Proportion of population with access)",25.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
14,Eastern Africa,2022,"Safely managed sanitation facilities, urban (Proportion of population with access)",27.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
14,Eastern Africa,2022,"Safely managed sanitation facilities, rural (Proportion of population with access)",19.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
14,Eastern Africa,2022,"Safely managed sanitation facilities, total (Proportion of population with access)",22.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
17,Middle Africa,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",34.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
17,Middle Africa,2010,"Safely managed drinking water sources, rural (Proportion of population with access)",2.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
17,Middle Africa,2010,"Safely managed drinking water sources, total (Proportion of population with access)",16.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
17,Middle Africa,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",22.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
17,Middle Africa,2010,"Safely managed sanitation facilities, rural (Proportion of population with access)",14.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
17,Middle Africa,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",18.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
17,Middle Africa,2015,"Safely managed drinking water sources, urban (Proportion of population with access)",37.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
17,Middle Africa,2015,"Safely managed drinking water sources, rural (Proportion of population with access)",2.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
17,Middle Africa,2015,"Safely managed drinking water sources, total (Proportion of population with access)",19.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
17,Middle Africa,2015,"Safely managed sanitation facilities, urban (Proportion of population with access)",22.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
17,Middle Africa,2015,"Safely managed sanitation facilities, rural (Proportion of population with access)",13.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
17,Middle Africa,2015,"Safely managed sanitation facilities, total (Proportion of population with access)",17.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
17,Middle Africa,2022,"Safely managed drinking water sources, urban (Proportion of population with access)",38.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
17,Middle Africa,2022,"Safely managed drinking water sources, rural (Proportion of population with access)",2.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
17,Middle Africa,2022,"Safely managed drinking water sources, total (Proportion of population with access)",21.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
17,Middle Africa,2022,"Safely managed sanitation facilities, urban (Proportion of population with access)",22.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
17,Middle Africa,2022,"Safely managed sanitation facilities, rural (Proportion of population with access)",11.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
17,Middle Africa,2022,"Safely managed sanitation facilities, total (Proportion of population with access)",17.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
18,Southern Africa,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",86.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
18,Southern Africa,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",58.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
18,Southern Africa,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",58.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
18,Southern Africa,2015,"Safely managed drinking water sources, urban (Proportion of population with access)",83.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
18,Southern Africa,2015,"Safely managed sanitation facilities, urban (Proportion of population with access)",60.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
18,Southern Africa,2015,"Safely managed sanitation facilities, total (Proportion of population with access)",62.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
18,Southern Africa,2022,"Safely managed drinking water sources, urban (Proportion of population with access)",80.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
18,Southern Africa,2022,"Safely managed sanitation facilities, urban (Proportion of population with access)",63.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
18,Southern Africa,2022,"Safely managed sanitation facilities, total (Proportion of population with access)",67.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
11,Western Africa,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",40.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
11,Western Africa,2010,"Safely managed drinking water sources, rural (Proportion of population with access)",12.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
11,Western Africa,2010,"Safely managed drinking water sources, total (Proportion of population with access)",23.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
11,Western Africa,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",20.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
11,Western Africa,2010,"Safely managed sanitation facilities, rural (Proportion of population with access)",15.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
11,Western Africa,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",17.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
11,Western Africa,2015,"Safely managed drinking water sources, urban (Proportion of population with access)",40.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
11,Western Africa,2015,"Safely managed drinking water sources, rural (Proportion of population with access)",15.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2023."
