T02,"Population, density and surface area",,,,,
1,"Total, all countries or areas",2022,Population mid-year estimates (millions),"8,021.41",,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
1,"Total, all countries or areas",2022,Population mid-year estimates for males (millions),"4,035.01",,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
1,"Total, all countries or areas",2022,Population mid-year estimates for females (millions),"3,986.40",,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
1,"Total, all countries or areas",2022,Sex ratio (males per 100 females),101.2,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
1,"Total, all countries or areas",2022,Population aged 0 to 14 years old (percentage),25.3,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
1,"Total, all countries or areas",2022,Population aged 60+ years old (percentage),13.8,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
1,"Total, all countries or areas",2022,Population density,61.5,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
1,"Total, all countries or areas",2022,Surface area (thousand km2),"130,094",,"United Nations Statistics Division, New York, ""Demographic Yearbook 2021"" and the demographic statistics database, last accessed June 2022."
1,"Total, all countries or areas",2024,Population mid-year estimates (millions),"8,161.97",Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
1,"Total, all countries or areas",2024,Population mid-year estimates for males (millions),"4,103.61",Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
1,"Total, all countries or areas",2024,Population mid-year estimates for females (millions),"4,058.36",Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
1,"Total, all countries or areas",2024,Sex ratio (males per 100 females),101.1,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
1,"Total, all countries or areas",2024,Population aged 0 to 14 years old (percentage),24.7,Projected estimate (medium fertility variant).;Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
1,"Total, all countries or areas",2024,Population aged 60+ years old (percentage),14.5,Projected estimate (medium fertility variant).;Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
1,"Total, all countries or areas",2024,Population density,62.6,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
2,Africa,2010,Population mid-year estimates (millions),"1,072.22",,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
2,Africa,2010,Population mid-year estimates for males (millions),534.30,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
2,Africa,2010,Population mid-year estimates for females (millions),537.91,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
2,Africa,2010,Sex ratio (males per 100 females),99.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
2,Africa,2010,Population aged 0 to 14 years old (percentage),41.8,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
2,Africa,2010,Population aged 60+ years old (percentage),5.0,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
2,Africa,2010,Population density,36.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
2,Africa,2015,Population mid-year estimates (millions),"1,220.08",,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
2,Africa,2015,Population mid-year estimates for males (millions),608.91,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
2,Africa,2015,Population mid-year estimates for females (millions),611.17,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
2,Africa,2015,Sex ratio (males per 100 females),99.6,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
2,Africa,2015,Population aged 0 to 14 years old (percentage),41.3,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
2,Africa,2015,Population aged 60+ years old (percentage),5.2,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
2,Africa,2015,Population density,41.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
2,Africa,2022,Population mid-year estimates (millions),"1,446.88",,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
2,Africa,2022,Population mid-year estimates for males (millions),722.64,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
2,Africa,2022,Population mid-year estimates for females (millions),724.25,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
2,Africa,2022,Sex ratio (males per 100 females),99.8,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
2,Africa,2022,Population aged 0 to 14 years old (percentage),39.8,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
2,Africa,2022,Population aged 60+ years old (percentage),5.6,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
2,Africa,2022,Population density,49.0,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
2,Africa,2022,Surface area (thousand km2),"29,648",,"United Nations Statistics Division, New York, ""Demographic Yearbook 2021"" and the demographic statistics database, last accessed June 2022."
2,Africa,2024,Population mid-year estimates (millions),"1,515.14",Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
2,Africa,2024,Population mid-year estimates for males (millions),756.81,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
2,Africa,2024,Population mid-year estimates for females (millions),758.33,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
2,Africa,2024,Sex ratio (males per 100 females),99.8,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
2,Africa,2024,Population aged 0 to 14 years old (percentage),39.1,Projected estimate (medium fertility variant).;Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
2,Africa,2024,Population aged 60+ years old (percentage),5.7,Projected estimate (medium fertility variant).;Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
2,Africa,2024,Population density,51.3,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
15,Northern Africa,2010,Population mid-year estimates (millions),210.94,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
15,Northern Africa,2010,Population mid-year estimates for males (millions),106.55,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
15,Northern Africa,2010,Population mid-year estimates for females (millions),104.39,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
15,Northern Africa,2010,Sex ratio (males per 100 females),102.1,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
15,Northern Africa,2010,Population aged 0 to 14 years old (percentage),33.2,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
15,Northern Africa,2010,Population aged 60+ years old (percentage),6.5,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
15,Northern Africa,2010,Population density,27.4,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
15,Northern Africa,2015,Population mid-year estimates (millions),232.67,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
15,Northern Africa,2015,Population mid-year estimates for males (millions),117.41,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
15,Northern Africa,2015,Population mid-year estimates for females (millions),115.26,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
15,Northern Africa,2015,Sex ratio (males per 100 females),101.9,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
15,Northern Africa,2015,Population aged 0 to 14 years old (percentage),33.4,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
15,Northern Africa,2015,Population aged 60+ years old (percentage),7.2,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
15,Northern Africa,2015,Population density,30.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
15,Northern Africa,2022,Population mid-year estimates (millions),264.72,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
15,Northern Africa,2022,Population mid-year estimates for males (millions),133.40,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
15,Northern Africa,2022,Population mid-year estimates for females (millions),131.32,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
15,Northern Africa,2022,Sex ratio (males per 100 females),101.6,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
15,Northern Africa,2022,Population aged 0 to 14 years old (percentage),32.6,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
15,Northern Africa,2022,Population aged 60+ years old (percentage),8.4,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
15,Northern Africa,2022,Population density,34.4,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
15,Northern Africa,2022,Surface area (thousand km2),"7,769",,"United Nations Statistics Division, New York, ""Demographic Yearbook 2021"" and the demographic statistics database, last accessed June 2022."
15,Northern Africa,2024,Population mid-year estimates (millions),272.13,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
15,Northern Africa,2024,Population mid-year estimates for males (millions),137.08,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
15,Northern Africa,2024,Population mid-year estimates for females (millions),135.06,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
15,Northern Africa,2024,Sex ratio (males per 100 females),101.5,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
15,Northern Africa,2024,Population aged 0 to 14 years old (percentage),31.9,Projected estimate (medium fertility variant).;Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
15,Northern Africa,2024,Population aged 60+ years old (percentage),8.8,Projected estimate (medium fertility variant).;Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
15,Northern Africa,2024,Population density,35.4,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
202,Sub-Saharan Africa,2010,Population mid-year estimates (millions),861.28,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
202,Sub-Saharan Africa,2010,Population mid-year estimates for males (millions),427.75,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
202,Sub-Saharan Africa,2010,Population mid-year estimates for females (millions),433.52,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
202,Sub-Saharan Africa,2010,Sex ratio (males per 100 females),98.7,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
202,Sub-Saharan Africa,2010,Population aged 0 to 14 years old (percentage),43.9,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
202,Sub-Saharan Africa,2010,Population aged 60+ years old (percentage),4.6,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
202,Sub-Saharan Africa,2010,Population density,39.4,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
202,Sub-Saharan Africa,2015,Population mid-year estimates (millions),987.41,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
202,Sub-Saharan Africa,2015,Population mid-year estimates for males (millions),491.50,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
202,Sub-Saharan Africa,2015,Population mid-year estimates for females (millions),495.91,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
202,Sub-Saharan Africa,2015,Sex ratio (males per 100 females),99.1,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
202,Sub-Saharan Africa,2015,Population aged 0 to 14 years old (percentage),43.2,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
202,Sub-Saharan Africa,2015,Population aged 60+ years old (percentage),4.7,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
202,Sub-Saharan Africa,2015,Population density,45.2,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
202,Sub-Saharan Africa,2022,Population mid-year estimates (millions),"1,182.16",,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
202,Sub-Saharan Africa,2022,Population mid-year estimates for males (millions),589.24,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
202,Sub-Saharan Africa,2022,Population mid-year estimates for females (millions),592.92,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
202,Sub-Saharan Africa,2022,Sex ratio (males per 100 females),99.4,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
202,Sub-Saharan Africa,2022,Population aged 0 to 14 years old (percentage),41.4,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
202,Sub-Saharan Africa,2022,Population aged 60+ years old (percentage),4.9,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
202,Sub-Saharan Africa,2022,Population density,54.1,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
202,Sub-Saharan Africa,2022,Surface area (thousand km2),"21,879",Calculated by the UN Statistics Division.,"United Nations Statistics Division, New York, ""Demographic Yearbook 2021"" and the demographic statistics database, last accessed June 2022."
202,Sub-Saharan Africa,2024,Population mid-year estimates (millions),"1,243.01",Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
202,Sub-Saharan Africa,2024,Population mid-year estimates for males (millions),619.74,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
202,Sub-Saharan Africa,2024,Population mid-year estimates for females (millions),623.27,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
202,Sub-Saharan Africa,2024,Sex ratio (males per 100 females),99.4,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
202,Sub-Saharan Africa,2024,Population aged 0 to 14 years old (percentage),40.7,Projected estimate (medium fertility variant).;Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
202,Sub-Saharan Africa,2024,Population aged 60+ years old (percentage),5.0,Projected estimate (medium fertility variant).;Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
202,Sub-Saharan Africa,2024,Population density,56.8,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
14,Eastern Africa,2010,Population mid-year estimates (millions),345.28,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
14,Eastern Africa,2010,Population mid-year estimates for males (millions),170.79,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
14,Eastern Africa,2010,Population mid-year estimates for females (millions),174.49,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
14,Eastern Africa,2010,Sex ratio (males per 100 females),97.9,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
14,Eastern Africa,2010,Population aged 0 to 14 years old (percentage),45.3,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
14,Eastern Africa,2010,Population aged 60+ years old (percentage),4.1,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
14,Eastern Africa,2010,Population density,51.9,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
14,Eastern Africa,2015,Population mid-year estimates (millions),395.33,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
14,Eastern Africa,2015,Population mid-year estimates for males (millions),195.77,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
14,Eastern Africa,2015,Population mid-year estimates for females (millions),199.57,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
14,Eastern Africa,2015,Sex ratio (males per 100 females),98.1,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
14,Eastern Africa,2015,Population aged 0 to 14 years old (percentage),43.9,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
14,Eastern Africa,2015,Population aged 60+ years old (percentage),4.3,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
14,Eastern Africa,2015,Population density,59.4,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
14,Eastern Africa,2022,Population mid-year estimates (millions),475.30,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
14,Eastern Africa,2022,Population mid-year estimates for males (millions),235.62,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
