T03,Population growth and indicators of fertility and mortality,,,,,
1,"Total, all countries or areas",2024,"Under five mortality rate for both sexes (per 1,000 live births)",36.0,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
1,"Total, all countries or areas",2024,Life expectancy at birth for both sexes (years),73.3,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
1,"Total, all countries or areas",2024,Life expectancy at birth for males (years),70.7,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
1,"Total, all countries or areas",2024,Life expectancy at birth for females (years),76.0,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
2,Africa,2010,Population annual rate of increase (percent),2.6,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
2,Africa,2010,Total fertility rate (children per women),4.9,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
2,Africa,2010,"Under five mortality rate for both sexes (per 1,000 live births)",93.9,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
2,Africa,2010,"Maternal mortality ratio (deaths per 100,000 population)",593,,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
2,Africa,2010,Life expectancy at birth for both sexes (years),58.8,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
2,Africa,2010,Life expectancy at birth for males (years),57.2,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
2,Africa,2010,Life expectancy at birth for females (years),60.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
2,Africa,2015,Population annual rate of increase (percent),2.6,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
2,Africa,2015,Total fertility rate (children per women),4.6,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
2,Africa,2015,"Under five mortality rate for both sexes (per 1,000 live births)",81.0,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
2,Africa,2015,"Maternal mortality ratio (deaths per 100,000 population)",526,,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
2,Africa,2015,Life expectancy at birth for both sexes (years),60.8,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
2,Africa,2015,Life expectancy at birth for males (years),59.1,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
2,Africa,2015,Life expectancy at birth for females (years),62.6,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
2,Africa,2020,Population annual rate of increase (percent),2.4,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
2,Africa,2020,Total fertility rate (children per women),4.2,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
2,Africa,2020,"Under five mortality rate for both sexes (per 1,000 live births)",69.0,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
2,Africa,2020,"Maternal mortality ratio (deaths per 100,000 population)",487,,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
2,Africa,2020,Life expectancy at birth for both sexes (years),62.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
2,Africa,2020,Life expectancy at birth for males (years),60.2,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
2,Africa,2020,Life expectancy at birth for females (years),64.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
2,Africa,2024,Population annual rate of increase (percent),2.3,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
2,Africa,2024,Total fertility rate (children per women),4.0,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
2,Africa,2024,"Under five mortality rate for both sexes (per 1,000 live births)",62.4,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
2,Africa,2024,Life expectancy at birth for both sexes (years),64.0,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
2,Africa,2024,Life expectancy at birth for males (years),62.0,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
2,Africa,2024,Life expectancy at birth for females (years),66.1,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
15,Northern Africa,2010,Population annual rate of increase (percent),1.8,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
15,Northern Africa,2010,Total fertility rate (children per women),3.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
15,Northern Africa,2010,"Under five mortality rate for both sexes (per 1,000 live births)",39.1,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
15,Northern Africa,2010,"Maternal mortality ratio (deaths per 100,000 population)",144,,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
15,Northern Africa,2010,Life expectancy at birth for both sexes (years),69.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
15,Northern Africa,2010,Life expectancy at birth for males (years),67.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
15,Northern Africa,2010,Life expectancy at birth for females (years),71.4,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
15,Northern Africa,2015,Population annual rate of increase (percent),2.0,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
15,Northern Africa,2015,Total fertility rate (children per women),3.4,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
15,Northern Africa,2015,"Under five mortality rate for both sexes (per 1,000 live births)",32.6,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
15,Northern Africa,2015,"Maternal mortality ratio (deaths per 100,000 population)",109,,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
15,Northern Africa,2015,Life expectancy at birth for both sexes (years),70.5,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
15,Northern Africa,2015,Life expectancy at birth for males (years),68.4,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
15,Northern Africa,2015,Life expectancy at birth for females (years),72.8,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
15,Northern Africa,2020,Population annual rate of increase (percent),1.6,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
15,Northern Africa,2020,Total fertility rate (children per women),3.1,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
15,Northern Africa,2020,"Under five mortality rate for both sexes (per 1,000 live births)",28.9,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
15,Northern Africa,2020,"Maternal mortality ratio (deaths per 100,000 population)",103,,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
15,Northern Africa,2020,Life expectancy at birth for both sexes (years),70.2,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
15,Northern Africa,2020,Life expectancy at birth for males (years),68.0,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
15,Northern Africa,2020,Life expectancy at birth for females (years),72.5,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
15,Northern Africa,2024,Population annual rate of increase (percent),1.4,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
15,Northern Africa,2024,Total fertility rate (children per women),2.9,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
15,Northern Africa,2024,"Under five mortality rate for both sexes (per 1,000 live births)",26.9,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
15,Northern Africa,2024,Life expectancy at birth for both sexes (years),72.2,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
15,Northern Africa,2024,Life expectancy at birth for males (years),70.0,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
15,Northern Africa,2024,Life expectancy at birth for females (years),74.6,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
202,Sub-Saharan Africa,2010,Population annual rate of increase (percent),2.8,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
202,Sub-Saharan Africa,2010,Total fertility rate (children per women),5.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
202,Sub-Saharan Africa,2010,"Under five mortality rate for both sexes (per 1,000 live births)",103.1,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
202,Sub-Saharan Africa,2010,"Maternal mortality ratio (deaths per 100,000 population)",668,,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
202,Sub-Saharan Africa,2010,Life expectancy at birth for both sexes (years),56.5,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
202,Sub-Saharan Africa,2010,Life expectancy at birth for males (years),55.0,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
202,Sub-Saharan Africa,2010,Life expectancy at birth for females (years),58.0,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
202,Sub-Saharan Africa,2015,Population annual rate of increase (percent),2.7,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
202,Sub-Saharan Africa,2015,Total fertility rate (children per women),4.9,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
202,Sub-Saharan Africa,2015,"Under five mortality rate for both sexes (per 1,000 live births)",89.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
202,Sub-Saharan Africa,2015,"Maternal mortality ratio (deaths per 100,000 population)",598,,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
202,Sub-Saharan Africa,2015,Life expectancy at birth for both sexes (years),58.8,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
202,Sub-Saharan Africa,2015,Life expectancy at birth for males (years),57.0,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
202,Sub-Saharan Africa,2015,Life expectancy at birth for females (years),60.5,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
202,Sub-Saharan Africa,2020,Population annual rate of increase (percent),2.6,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
202,Sub-Saharan Africa,2020,Total fertility rate (children per women),4.5,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
202,Sub-Saharan Africa,2020,"Under five mortality rate for both sexes (per 1,000 live births)",75.4,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
202,Sub-Saharan Africa,2020,"Maternal mortality ratio (deaths per 100,000 population)",545,,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
202,Sub-Saharan Africa,2020,Life expectancy at birth for both sexes (years),60.6,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
202,Sub-Saharan Africa,2020,Life expectancy at birth for males (years),58.6,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
202,Sub-Saharan Africa,2020,Life expectancy at birth for females (years),62.6,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
202,Sub-Saharan Africa,2024,Population annual rate of increase (percent),2.5,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
202,Sub-Saharan Africa,2024,Total fertility rate (children per women),4.3,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
202,Sub-Saharan Africa,2024,"Under five mortality rate for both sexes (per 1,000 live births)",67.6,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
202,Sub-Saharan Africa,2024,Life expectancy at birth for both sexes (years),62.3,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
202,Sub-Saharan Africa,2024,Life expectancy at birth for males (years),60.3,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
202,Sub-Saharan Africa,2024,Life expectancy at birth for females (years),64.4,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
14,Eastern Africa,2010,Population annual rate of increase (percent),2.9,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
14,Eastern Africa,2010,Total fertility rate (children per women),5.2,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
14,Eastern Africa,2010,"Under five mortality rate for both sexes (per 1,000 live births)",82.4,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
14,Eastern Africa,2010,"Maternal mortality ratio (deaths per 100,000 population)",542,,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
14,Eastern Africa,2010,Life expectancy at birth for both sexes (years),59.0,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
14,Eastern Africa,2010,Life expectancy at birth for males (years),57.2,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
14,Eastern Africa,2010,Life expectancy at birth for females (years),60.8,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
14,Eastern Africa,2015,Population annual rate of increase (percent),2.6,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
